,accession_number,author,copyright,credit_line,curatorial_department,date,dimensions,geography,id,location,medium,subtitle,title,url
6113,2001-62-598,"André Kertész, American (born Hungary), 1894 - 1985",,"125th Anniversary Acquisition. The Lynne and Harold Honickman Gift of the Julien Levy Collection, 2001","Prints, Drawings, and Photographs",c. 1930,Image and sheet: 6 1/4 x 8 3/4 inches (15.8 x 22.2 cm),"Photograph taken in Paris, France, Europe",109625,Currently not on view,Gelatin silver print,,Place Saint-André-des-Arts (Latin Quarter),http://www.philamuseum.org/collections/permanent/109625.html
6114,2014-2-1(170),"Andy Warhol, American, 1928 - 1987","© Andy Warhol Foundation for the Visual Arts / Artists Rights Society (ARS), New York","Gift of the Andy Warhol Foundation for the Visual Arts, Inc., 2014","Prints, Drawings, and Photographs",May 1973,"Image: 3 1/8 × 3 1/16 inches (7.9 × 7.8 cm)
Sheet: 4 1/4 × 3 1/2 inches (10.8 × 8.9 cm)","Possibly made in United States, North and Central America",330008,Currently not on view,Dye diffusion print,Family Album,Unidentified Man,http://www.philamuseum.org/collections/permanent/330008.html
6115,1928-95-335,"Possibly made by Boston and Sandwich Glass Company, Sandwich, Massachusetts, 1825 - 1888",,"The Elizabeth Wandell Smith Collection, 1928",American Art,c. 1840,1 7/8 x 3 x 1 7/8 inches (4.8 x 7.6 x 4.8 cm),"Possibly made in Sandwich, Massachusetts, United States, North and Central America Period: antebellum",160693,Currently not on view,Colorless glass,,Salt Dish,http://www.philamuseum.org/collections/permanent/160693.html
6116,2014-49-163,"Leonard Baskin, American, 1922 - 2000","© The Estate of Leonard Baskin, Courtesy Galerie St. Etienne, New York","Gift of Marc and Mi-Young Mostovoy in memory of Ira and Floretta Mostovoy, 2014","Prints, Drawings, and Photographs",1952,"Image: 15 × 24 inches (38.1 × 61 cm)
Sheet (irregular): 24 3/8 × 35 inches (61.9 × 88.9 cm)","Made in Worcester, Massachusetts, United States, North and Central America",328647,Currently not on view,Woodcut,,The Line,http://www.philamuseum.org/collections/permanent/328647.html
6117,"1969-208-34a,b","Konishi Hirosada (also called Gosōtei Hirosada), Japanese, active 1826-1863, died c. 1865. Published by Tenki, Japanese.",,"Purchased with the Lola Downin Peck Fund and with funds contributed by various donors, 1969","Prints, Drawings, and Photographs",1847,"1/4 size Tate-e diptych, on uncut Chūban yoko-e sheet: 6 3/4 × 9 11/16 inches (17.1 × 24.6 cm)","Made in Japan, Asia Period: Edo Period (1615-1868)",253587,Currently not on view,Color woodcut (diptych),From the series Hakkenden,"Kataoka Gadō as Inuzuka Shino (a, right panel); Arashi Kichisaburō III as Inugai Kenpachi (b, left panel)",http://www.philamuseum.org/collections/permanent/253587.html
6118,1982-10-233,"Maxil E. Ballinger, American, 1914 - 1958",,"Purchased with the Lola Downin Peck Fund from the Carl and Laura Zigrosser Collection, 1982","Prints, Drawings, and Photographs",1940-1941,"Image: 10 x 6 3/8 inches (25.4 x 16.2 cm)
Sheet: 12 3/4 x 9 1/2 inches (32.4 x 24.1cm)","Made in United States, North and Central America",75279,Currently not on view,"Lithograph, printed in brown ink",,Piano Player in a Bar,http://www.philamuseum.org/collections/permanent/75279.html
6119,1925-27-48,"Artist/maker unknown, Chinese",,"Gift of Lydia Thompson Morris, 1925",East Asian Art,19th century,1 11/16 x 2 1/16 inches (4.3 x 5.3 cm),"Made in China, Asia",150988,Currently not on view,Glazed porcelain,,Cup,http://www.philamuseum.org/collections/permanent/150988.html
6120,1985-52-540,"Andrea Andreani, Italian, 1540/46 - 1623. After Andrea Mantegna, Italian (active Padua, Mantua, and Verona), 1431 - 1506.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1599,Sheet: 14 1/16 x 14 3/4 inches (35.7 x 37.4 cm),"Made in Mantua, Italy, Europe",24750,Currently not on view,"Woodcut (chiaroscuro), printed in gray, black, and brown ink from four blocks",,Banner Bearers,http://www.philamuseum.org/collections/permanent/24750.html
6121,1965-86-705,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","July 7, 1932",Image and sheet: 13 7/8 × 10 7/8 inches (35.3 × 27.7 cm),"Photograph taken in New York, New York, United States, North and Central America",235602,Currently not on view,Gelatin silver print,,Lois Moran,http://www.philamuseum.org/collections/permanent/235602.html
6122,2014-176-6,"Edward Henry Potthast, American, 1857 - 1927",,"Gift of Eugene and Marie-Louise Jackson, 2014",American Art,c. 1920,"12 × 14 inches (30.5 × 35.6 cm)
Framed: 19 3/4 × 21 3/4 inches (50.2 × 55.2 cm)","Possibly made in United States, North and Central America",331316,Currently not on view,Oil on canvas,Harbor Scene,Fishing Boats,http://www.philamuseum.org/collections/permanent/331316.html
6123,"1967-169-5a,b","Artist/maker unknown, American",,"Gift of John F. Lewis III, Howard H. Lewis, and Mrs. Paul E. Stoudt in memory of Mr. and Mrs. John F. Lewis, 1967",Costume and Textiles,c. 1855,"Dress (Center Back Length): 54 inches (137.2 cm)
Waist: 22 inches (55.9 cm)
Capelet: 16 x 14 inches (40.6 x 35.6 cm)","Made in United States, North and Central America",62705,Currently not on view,"Light blue, white and black silk in  figured and sheer plain weave stripes; silk fringe and tassels",,Day Dress and Capelet,http://www.philamuseum.org/collections/permanent/62705.html
6124,1985-52-3726,"John Baptist Jackson, British, c. 1701 - c. 1780. After a painting by Paolo Veronese (Paolo di Gabriele Caliari), Italian (active Verona, Venice, and environs) 1528 - 1588. Dedicated to Abbot Leopoldo Capello.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1740,"Block (overall): 22 13/16 x 32 11/16 inches (57.9 x 83 cm)
Sheet (overall): 25 5/16 x 36 3/16 inches (64.3 x 91.9 cm)","Made in Venice, Italy, Europe",182616,Currently not on view,"Color woodcut (chiaroscuro), printed from four blocks on two sheets of laid paper","From the series Titiani Vecelii, Pauli Caliarii, Jacobi Robusti et Jacobi de Ponte: opera selectiora a Joanne Baptista Jackson, Anglo, ligno coelata et coloribus adumbrate (Venice: Giovanni Battista Pasquali, 1745)",The Marriage at Cana,http://www.philamuseum.org/collections/permanent/182616.html
6125,1975-140-19,"Artist/maker unknown, English",,"The Richard P. Rosenau Collection, 1975",European Decorative Arts and Sculpture,c. 1775,1 x 1 5/8 x 1 3/16 inches (2.5 x 4.1 x 3 cm),"Made in South Staffordshire, England, Europe Possibly made in Birmingham, England, Europe",185179,Currently not on view,Enamel on copper with hand-painted and transfer-printed decoration; brass mounts; steel mirror,,Patch Box,http://www.philamuseum.org/collections/permanent/185179.html
6126,1978-67-1(6),"John Thomson, Scottish, 1837 - 1921. Published by Sampson Low, Marston, Low, & Searll, London. Printed by Cheswick Press, London (by Whittinghan & Wilkins).",,"Purchased with the Alfred Stieglitz Center Restricted Fund, 1978","Prints, Drawings, and Photographs",1873,"Image: 6 13/16 × 12 1/2 inches (17.3 × 31.8 cm)
Sheet: 13 3/4 × 18 1/2 inches (35 × 47 cm)","Printed in London, England, Europe Photograph taken in Hong Kong, China, Asia",274138,Currently not on view,Autotype,"Plate VI from the album Illustrations of China and Its People, Vol. I","The Praya, Hong-Kong",http://www.philamuseum.org/collections/permanent/274138.html
6127,1985-52-32523,"Johann Georg Wille, German (active France), 1715 - 1808. After Charles Parrocel, French, 1688 - 1752.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1753,"Plate: 7 5/8 x 5 11/16 inches (19.3 x 14.5 cm)
Sheet: 7 11/16 x 5 13/16 inches (19.6 x 14.8 cm)","Made in Paris, France, Europe",14693,Currently not on view,Etching and engraving,,Frontispiece with Lansquenet,http://www.philamuseum.org/collections/permanent/14693.html
6128,1965-86-7592,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","April 3, 1934",Image and sheet: 9 15/16 × 7 15/16 inches (25.2 × 20.1 cm),"Photograph taken in New York, New York, United States, North and Central America",243794,Currently not on view,Gelatin silver print,,Ramón Novarro,http://www.philamuseum.org/collections/permanent/243794.html
6129,1982-47-52,"Danny Lyon, American, born 1942",,"Purchased with the Lola Downin Peck Fund and the Alice Newton Osborn Fund, 1982","Prints, Drawings, and Photographs",1978,"Image: 8 13/16 × 13 1/8 inches (22.4 × 33.4 cm)
Sheet: 10 7/8 × 14 inches (27.6 × 35.5 cm)","Photograph taken in Veracruz, Mexico, North and Central America",149201,Currently not on view,Gelatin silver print,,"Cane Cutters, Veracruz, Mexico",http://www.philamuseum.org/collections/permanent/149201.html
6130,1964-52-3,"Manuel Komroff, American, 1890 - 1974",,"Purchased with the Print Revolving Fund and with funds contributed by Mr. and Mrs. Adrian Siegel and Theodore T. Newbold, 1964","Prints, Drawings, and Photographs",1961,"Image: 9 3/4 × 7 13/16 inches (24.7 × 19.8 cm)
Sheet: 9 15/16 × 8 inches (25.2 × 20.3 cm)","Made in United States, North and Central America",146132,Currently not on view,Gelatin silver print,,Ghost of Bread,http://www.philamuseum.org/collections/permanent/146132.html
6131,1960-11-17b,"Made by the Meissen porcelain factory, Meissen, Germany, 1710 - present",,"Gift in memory of Irving H. Vogel, 1960",European Decorative Arts and Sculpture,c. 1750,1 1/16 x 5 1/4 inches (2.7 x 13.3 cm),"Made in Meissen, Germany, Europe",321105,Currently not on view,"Hard-paste porcelain with relief, enamel, and gilt decoration",,Saucer,http://www.philamuseum.org/collections/permanent/321105.html
6132,1985-52-40384,"Paul Sandby, English, 1730 - 1809",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1760,"Plate: 8 3/4 x 6 3/8 inches (22.3 x 16.2 cm)
Sheet: 8 7/8 x 6 5/8 inches (22.5 x 16.8 cm)","Made in England, Europe",118728,Currently not on view,Etching,Plate 7 from Twelve London Cries Done from the Life by P Sandby (1760),Hot Pudding Vendor,http://www.philamuseum.org/collections/permanent/118728.html
6133,1979-143-3,"August Sander, German, 1876 - 1964","© Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn","Purchased with a grant from the National Endowment for the Arts, 1979","Prints, Drawings, and Photographs",c. 1937,"Image: 9 × 11 3/8 inches (22.9 × 28.9 cm)
Sheet: 9 3/16 × 11 1/2 inches (23.3 × 29.2 cm)
Mount: 16 1/2 x 13 inches (41.9 x 33 cm)","Photograph taken in Germany, Europe",72516,Currently not on view,Gelatin silver print,,"The Siebengebirge from Rolandsbogen to the Ölberg, Germany",http://www.philamuseum.org/collections/permanent/72516.html
6134,1962-135-183,"Eadweard Muybridge, American (born England), 1830 - 1904",,"Gift of The Philadelphia Commercial Museum, 1962","Prints, Drawings, and Photographs",1887,"Image: 7 9/16 x 15 7/8 inches (19.2 x 40.3 cm)
Sheet: 19 x 24 1/8 inches (48.3 x 61.3 cm)","Photograph taken in Philadelphia, Pennsylvania, United States, North and Central America",151328,Currently not on view,Collotype,"Plate 439 from Animal Locomotion: An Electro Photographic Investigation of Consecutive Phases of Animal Movements, Vol. 4",Spreading a Rug on the Floor,http://www.philamuseum.org/collections/permanent/151328.html
6135,1985-52-42507,"Artist/maker unknown, Dutch. After Romeyn de Hooghe, Dutch, 1645/46 - 1708.",,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation","Prints, Drawings, and Photographs",c. 1675,"Plate: 9 15/16 x 13 5/16 inches (25.2 x 33.8 cm)
Sheet: 10 13/16 x 13 5/8 inches (27.4 x 34.6 cm)","Made in Amsterdam, Netherlands, Europe",23759,Currently not on view,Etching,"Plate from Lambert van den Bosch, Tooneel des Oorlogs. Opgeregt in de Vereenigde Nederlanden (Amsterdam, 1675)",The Kidnapping and Arrest of Prince Willem Egon von Fürstenberg in Cologne in 1674,http://www.philamuseum.org/collections/permanent/23759.html
6136,1991-24-3,"Artist/maker unknown, French. Printed by J. E. Goossens, Paris - Lille.",,"The William H. Helfand Collection, 1991","Prints, Drawings, and Photographs",c. 1905,Sheet: 62 13/16 × 45 11/16 inches (159.5 × 116 cm),"Made in France, Europe",86497,Currently not on view,Color lithograph (poster),,Gilet d'Eté du Docteur Rasurel,http://www.philamuseum.org/collections/permanent/86497.html
6137,1927-55-35a,"Artist/maker unknown, Chinese, for export to the American market",,"Bequest of Emily Bacon Morrison in memory of Edward and Lizzie W. Bacon, 1927",American Art,c. 1790,1 × 5 3/8 inches (2.5 × 13.7 cm),"Made in China, Asia",146654,Currently not on view,Hard-paste porcelain with enamel and gilt decoration,,Saucer,http://www.philamuseum.org/collections/permanent/146654.html
6138,2006-25-14,"Artist/maker unknown, American. Possibly made by Jane Jones, American.",,"Gift of the William Hess Lyne Family, 2006",Costume and Textiles,1843,10 1/4 x 10 1/4 inches (26 x 26 cm),"Made in United States, North and Central America",321663,Currently not on view,"White cotton plain weave, printed cotton plain weave",,Quilt Block,http://www.philamuseum.org/collections/permanent/321663.html
6139,1928-42-3869,"Cornelis Ploos van Amstel, Dutch, 1726 - 1798. After Adriaen van de Velde, Dutch (active Amsterdam), 1632 - 1672.",,"The Charles M. Lea Collection, 1928","Prints, Drawings, and Photographs",1821 (publication),Sheet: 6 1/8 × 9 1/8 inches (15.6 × 23.2 cm),"Made in Netherlands, Europe",157981,Currently not on view,Color etching,Collections d'imitations de dessins d'apres les principaux maitres Hollandais et Flamands,The Ford,http://www.philamuseum.org/collections/permanent/157981.html
6140,1969-132-12,"Milton Rogovin, American, 1909 - 2011",,"Purchased with the Alfred Stieglitz Center Acquisition Fund, 1969","Prints, Drawings, and Photographs",1960-1962,"Image: 9 3/8 x 8 7/8 inches (23.8 x 22.5 cm)
Sheet: 13 7/8 x 10 15/16 inches (35.2 x 27.8 cm)","Photograph taken in United States, North and Central America",178962,Currently not on view,Gelatin silver print,,Untitled,http://www.philamuseum.org/collections/permanent/178962.html
6141,1972-4-71,"Made by the Sèvres porcelain factory, Sèvres, France, 1756 - present",,"Gift of Mrs. Philip L. Poe, 1972",European Decorative Arts and Sculpture,Made and decorated 1847,1 5/8 x 9 3/8 inches (4.1 x 23.8 cm),"Made in Sèvres, France, Europe",167842,Currently not on view,Hard-paste porcelain with gilt decoration,,Soup Plate,http://www.philamuseum.org/collections/permanent/167842.html
6142,1994-148-115,"Artist/maker unknown, Indian",,"Stella Kramrisch Collection, 1994",South Asian Art,18th - 19th century,"5 1/4 × 2 1/8 × 1/2 inches (13.3 × 5.4 × 1.3 cm)
Base: 1 5/16 × 1 7/8 × 2 inches (3.3 × 4.8 × 5.1 cm)","Made in Tamil Nadu, India, Asia",87951,Currently not on view,Brass,,Half of an Areca Nut Cutter with the Goddess Kaumari on her Peacock,http://www.philamuseum.org/collections/permanent/87951.html
6143,1965-86-279,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","June 30, 1932",Image and sheet: 13 15/16 × 10 15/16 inches (35.4 × 27.8 cm),"Photograph taken in New York, New York, United States, North and Central America",235164,Currently not on view,Gelatin silver print,,Eva Gauthier,http://www.philamuseum.org/collections/permanent/235164.html
6144,1985-52-11777,"Nicolaas van den Worm, Dutch, 1757 - 1828. After Christine Chalon, Dutch, 1748 - 1808.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Late 18th - early 19th century,"Plate: 8 15/16 x 7 5/16 inches (22.7 x 18.5 cm)
Sheet: 9 1/8 x 7 7/16 inches (23.2 x 18.9 cm)","Made in Leiden, Netherlands, Europe",24036,Currently not on view,Etching,,Group of Peasants at a Table,http://www.philamuseum.org/collections/permanent/24036.html
6145,1985-52-8070,"Sauveur Legros, French, 1754 - 1834",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1796,Sheet: 2 7/16 x 3 1/2 inches (6.2 x 8.9 cm),"Made in Paris, France, Europe",4183,Currently not on view,Etching,,Pastoral Landscape,http://www.philamuseum.org/collections/permanent/4183.html
6146,2017-229-13,"Magalene Wilson, American, 1898 - 2001",© Estate of Madgalene Wilson,"Purchased with the Joseph E. Temple Fund, and gift of the Souls Grown Deep Foundation from the William S. Arnett Collection, 2017",Costume and Textiles,c. 1950,6 feet 10 inches × 6 feet 2 inches (208.3 × 188 cm),"Made in Gee's Bend, Boykin, Wilcox, Alabama, United States, North and Central America",340289,Currently not on view,"Pieced solid and printed cotton plain weave, wool twill, synthetic plain weave, printed cotton corduroy, and cotton seersucker",,One Patch Quilt,http://www.philamuseum.org/collections/permanent/340289.html
6147,1966-21-302,"Federico Castellón, American (born Spain), 1914 - 1971","Courtesy of Michael Rosenfeld Gallery LLC, New York, NY","Purchased with the Lola Downin Peck Fund from the Carl and Laura Zigrosser Collection, 1966","Prints, Drawings, and Photographs",1935,Sheet: 10 13/16 x 6 1/2 inches (27.5 x 16.5 cm),"Made in United States, North and Central America",62063,Currently not on view,Graphite on off-white wove paper,,Self-Portrait: Autoritrato: Castellon par Lui-Meme,http://www.philamuseum.org/collections/permanent/62063.html
6148,"2001-103-1(106d,e)","Artist/maker unknown, American",,"Gift of Boyd Lee Spahr, III and C. Stewart W. Spahr in memory of their parents Elizabeth F.W. Spahr and Boyd L. Spahr, Jr., 2001",American Art,Mid- 19th century,1 1/4 × 1 1/2 × 1 1/8 inches (3.2 × 3.8 × 2.9 cm),,327212,Currently not on view,"Mixed mediums, including wood, paper, fabric",,Ceramic Tureen with Blue Floral Decoration,http://www.philamuseum.org/collections/permanent/327212.html
6149,1980-89-60,"Dorothy Norman, American, 1905 - 1997",,"From the Collection of Dorothy Norman, 1980","Prints, Drawings, and Photographs",1943,"Image/Sheet/Mount: 3 7/8 × 2 11/16 inches (9.8 × 6.9 cm)
Mount (secondary): 11 5/16 × 9 7/16 inches (28.7 × 23.9 cm)","Photograph taken in New York, United States, North and Central America",74601,Currently not on view,Gelatin silver print,,"Mai Mai Sze II, New York",http://www.philamuseum.org/collections/permanent/74601.html
6150,1979-96-29g,"Benjamin D. Kopman, American (born Russia), 1887 - 1965",,"Purchased with the Thomas Skelton Harrison Fund, 1979","Prints, Drawings, and Photographs",1939,"Image: 13 3/8 × 10 inches (34 × 25.4 cm)
Sheet: 16 15/16 × 12 7/8 inches (43 × 32.7 cm)","Made in United States, North and Central America",265753,Currently not on view,Hand-colored lithograph,From the series Humanity,Joy Riders,http://www.philamuseum.org/collections/permanent/265753.html
6151,1976-48-7,"Artist/maker unknown, American",,"Gift of Mrs. Henry W. Borman, 1976",Costume and Textiles,c. 1920,(Including strap): 9 1/2 x 11 1/2 inches (24.1 x 29.2 cm),"Made in United States, North and Central America",129293,Currently not on view,"Silk crochet, iridescent beading",,Woman's Bag,http://www.philamuseum.org/collections/permanent/129293.html
6152,"2001-27-21a,b","Made by the New England Glass Company, East Cambridge, Massachusetts, 1818 - 1888",,"Gift of Drs. Stratton and Freida Woodruff, 2001",American Art,1855-1870,Each: 6 x 4 1/4 inches (15.2 x 10.8 cm),"Made in Cambridge, Massachusetts, United States, North and Central America",106270,Currently not on view,Silvered glass,,Pair of Tie-Back Curtain Pins,http://www.philamuseum.org/collections/permanent/106270.html
6153,1985-52-8341,"Frans van den Wyngaerde, Flemish, 1614 - 1679. After Adriaen Brouwer, Dutch (active Haarlem, Amsterdam, and Antwerp), 1606 - 1638.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Mid- 17th century,"Plate: 3 3/4 x 4 5/8 inches (9.6 x 11.7 cm)
Sheet: 3 7/8 x 4 3/4 inches (9.8 x 12 cm)","Made in Antwerp, Southern Netherlands (modern Belgium), Europe",23981,Currently not on view,Etching and engraving with plate tone,"S. Franciscus, peniten",St. Francis in Penitence,http://www.philamuseum.org/collections/permanent/23981.html
6154,1985-52-24349,"Charles-Émile Jacque, French, 1813 - 1894",,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation","Prints, Drawings, and Photographs",1864,"Plate: 6 1/8 x 4 15/16 inches (15.5 x 12.6 cm)
Sheet: 19 3/4 x 13 3/16 inches (50.2 x 33.5 cm)","Made in Paris, France, Europe",3834,Currently not on view,Etching and engraving and drypoint with plate tone,Le Repas,Evening Meal,http://www.philamuseum.org/collections/permanent/3834.html
6155,1985-52-13511,"Angelica Kauffman, Swiss, 1741 - 1807. After a painting by Correggio (Antonio di Pellegrino Allegri), Italian (active Parma), 1489 - 1534.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1763,"Plate: 5 7/16 x 6 15/16 inches (13.8 x 17.6 cm)
Sheet: 5 13/16 x 7 5/16 inches (14.8 x 18.5 cm)","Made in Italy, Europe",12584,Currently not on view,Etching,,Mystic Marriage of St. Catherine,http://www.philamuseum.org/collections/permanent/12584.html
6156,2001-62-116,"Eugène Atget, French, 1857 - 1927",,"125th Anniversary Acquisition. The Lynne and Harold Honickman Gift of the Julien Levy Collection, 2001","Prints, Drawings, and Photographs",c. 1910,Image and sheet (irregular): 8 11/16 × 6 15/16 inches (22.1 × 17.7 cm),"Photograph taken in France, Europe",109143,Currently not on view,Albumen silver print,,Intérieur Feraudy - Rue Montaigne (Interior Feraudy - Rue Montaigne),http://www.philamuseum.org/collections/permanent/109143.html
6157,205-2017-198,"Larry Fink, American, born 1941",© Larry Fink,"Promised gift of the Tony Podesta Collection, Washington DC","Prints, Drawings, and Photographs",1993,"Image: 14 9/16 × 14 1/2 inches (37 × 36.8 cm)
Sheet: 19 13/16 × 15 7/8 inches (50.4 × 40.3 cm)","Photograph taken in Philadelphia, Pennsylvania, United States, North and Central America",341197,Currently not on view,Gelatin silver print,From the portfolio Boxing,"Champs Gym, Philadelphia, Pennsylvania, February 1993",http://www.philamuseum.org/collections/permanent/341197.html
6158,1985-52-25129,"Artist/maker unknown, Italian. After Stefano della Bella, Italian, 1610 - 1664.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",17th - 18th century,Sheet: 2 3/8 x 4 15/16 inches (6.1 x 12.5 cm),"Made in Italy, Europe",25328,Currently not on view,Etching and engraving,,Line of Cannons,http://www.philamuseum.org/collections/permanent/25328.html
6159,1965-86-8755,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","May 23, 1958",Image and sheet: 9 3/4 × 6 5/16 inches (24.8 × 16 cm),"Photograph taken in New York, New York, United States, North and Central America",245483,Currently not on view,Gelatin silver print,,Gloria Vanderbilt,http://www.philamuseum.org/collections/permanent/245483.html
6160,1993-85-3,"Designed by Mr. John (John P. John), American (born Germany), c. 1902 - 1993",,"Gift of Gloria Etting, 1993",Costume and Textiles,c. 1955,,"Made in United States, North and Central America",87789,Currently not on view,"Silk plushCuratorial Department: Costume and TextilesObject Location:Currently not on viewAccession Number: 1993-85-3Credit Line: Gift of Gloria Etting, 1993",,Woman's Hat,http://www.philamuseum.org/collections/permanent/87789.html
6161,"2009-158-11a,b","Made by Swatch AG, Biel, Switzerland, founded 1983",,"Gift of Mrs. Jack M. Friedland (Annette Y. Friedland), 2009",European Decorative Arts and Sculpture,1992,9 1/2 x 1 9/16 inches (24.1 x 3.9 cm),,311978,Currently not on view,"Plastic, textile over leather",,"""Veruschka"" Watch",http://www.philamuseum.org/collections/permanent/311978.html
6162,1985-52-12733,"Jan Harmensz. Muller, Dutch, 1571 - 1628. After Bartholomeus Spranger, Flemish (active Prague and Italy), 1546 - 1611.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1606,Sheet: 22 1/16 x 16 3/4 inches (56 x 42.6 cm),"Made in Amsterdam, Netherlands, Europe",22447,Currently not on view,Engraving,,Adoration of the Shepherds,http://www.philamuseum.org/collections/permanent/22447.html
